No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
11,Aurora UI (Mesh Gradients),General,"Vibrant gradients, smooth blend, mesh gradient, luminous, atmospheric, abstract, flowing","Complementary: Blue-Orange, Purple-Yellow, Electric Blue #0080FF","Smooth transitions, iridescent effects, blend modes","Large flowing gradients, 8-12s animations, depth via color layering, smooth morph","Modern SaaS, creative agencies, branding, music platforms, premium hero sections","Data-heavy dashboards, text-heavy content (distracting)",✓ Full,✓ Full,⚠ Good,⚠ Text contrast,✓ Good,✓ High,"Tailwind 9/10, Framer 10/10",2020s Modern,Medium,"Create a vibrant gradient interface inspired by Northern Lights using mesh gradients and flowing animations.","background: conic-gradient, animation: gradient (8-12s), background-size: 200%","☐ Mesh gradients applied, ☐ 8-12s animation loop, ☐ Smooth color transitions, ☐ Text contrast verified","--animation-duration: 10s, --gradient-mesh: multi-color"
12,Retro-Futurism & Synthwave,General,"Vintage sci-fi, 80s, neon glow, CRT scanlines, pixel art, cyberpunk, synthwave","Neon Blue #0080FF, Hot Pink #FF006E, Deep Black #1A1A2E","Metallic Silver #C0C0C0, Gold #FFD700, 80s Pink #FF10F0","CRT scanlines, neon glow (text-shadow), glitch effects (transform skew)","Gaming, entertainment, music platforms, tech brands, nostalgic projects","Conservative industries, professional corporate, elderly users",✓ Full,✓ Dark focused,⚠ Moderate,⚠ High strain,◐ Medium,◐ Medium,"Tailwind 8/10, CSS-in-JS 9/10",1980s Retro,Medium,"Build a retro-futuristic interface with neon colors, deep black background, CRT scanlines, glitch effects, neon glow.","color: neon-pink, text-shadow: 0 0 10px pink, background: #000, font-family: monospace","☐ Neon colors used, ☐ CRT scanlines effect, ☐ Glitch animations active, ☐ Monospace font","--neon-color: #FF10F0, --scanline-opacity: 0.2, --font: monospace"
13,Flat Design 3.0 (Soft Flat),General,"2D, minimalist, bold colors, no shadows, clean lines, simple shapes, typography-focused","Solid bright: Red, Orange, Blue, Green, limited palette (4-4 max)","Complementary colors, muted secondaries, high saturation","No gradients, simple hover (opacity shift), fast loading, clean transitions (150ms)","Web apps, startup MVPs, SaaS, dashboards, documentation, user-friendly","Complex 3D, premium/luxury, artistic portfolios, immersive experiences",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,"Tailwind 10/10, Bootstrap 10/10",2010s/20s,Low,"Create a flat 2D interface with bold colors, no shadows, clean lines, typography-focused.","box-shadow: none, background: solid, border-radius: 4px, font: bold sans-serif","☐ No shadows/gradients, ☐ 4-6 solid colors max, ☐ Icon-heavy layout, ☐ Fast loading verified","--shadow: none, --border-radius: 4px, --gradient: none"
14,Contextual AI UI (Agentic),General,"Chatbot, agentic, streaming, AI-powered, minimal chrome, thinking states, context aware, purple accents","AI Purple #6366F1, Ghost White #F8FAFC, Success Green #10B981","Streaming highlight color, thinking pulse color, prompt suggestion chips","Thinking state pulse, streaming text (token by token), context-card expansion, response-feedback loops","AI assistants, Copilots, Large Language Model interfaces, diagnostic tools, tech support","Traditional CRUD apps, static websites, e-commerce stores",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Next.js 10/10, Tailwind 10/10, Vercel AI SDK","2024+ AI Era",Medium,"Design a conversational AI interface with minimal chrome and streaming text animations. Focus on 'Thinking' states.","animation: pulse for thinking, overflow: hidden for streaming, padding: 2rem for chat area","☐ Chat streaming implemented, ☐ Thinking state pulse, ☐ Prompt suggestions active, ☐ Feedback (Thumb up/down)","--ai-purple: #6366F1, --streaming-speed: 20ms, --bubble-radius: 12px"
15,Skeuomorphism (Modern Polish),General,"Realistic, texture, depth, 3D, real-world metaphors, shadows, gradients, tactile, material","Rich realistic: wood, leather, metal, detailed gradients","Realistic lighting, shadow variations (30-50% darker), texture overlays","Realistic shadows (layers), depth (perspective), grain effects, tactile animations (300ms)","Gaming, immersive storytelling, premium luxury, realistic simulations, niche brand apps","Modern enterprise, low-performance, web (use Flat instead)",◐ Partial,◐ Partial,❌ Poor,⚠ Textures reduce readability,✗ Low,◐ Medium,"CSS-in-JS 7/10, Custom 8/10",2007-2012 / 2025,"High","Design a realistic interface with 3D depth and real-world materials like leather or metal.","background: gradient(8-stops), box-shadow: multi-layer, background-image: noise texture","☐ Realistic textures applied, ☐ Multi-layer shadows, ☐ Tactile animations, ☐ Depth effect pronounced","--shadow-layers: 3+, --depth-effect: true, --material: texture"
16,Cyber-Minimalism (Neon Grid),General,"Cyber, minimal, grid, dark, glow, futuristic, sharp, lines, monochrome + single neon","Deep Onyx #050505, Neon Cyan #00FFFF, Steel Grey #262626","Subtle grid lines #111111, white text #E5E5E5, alert red","Neon flickering (optional), grid-layout reveal, sharp transitions, single-pixel borders","Developer tools, tech startups, crypto platforms, futuristic portfolios, coding environments","Consumer brands, family apps, fashion, luxury (unless avant-garde)",✗ Low,✓ Full,⚡ Excellent,✓ WCAG AA+,✓ High,✓ High,"Tailwind 10/10, Next.js 10/10",2025 Trend,Medium,"Design a cyber-minimalist interface with deep onyx backgrounds and neon cyan accents on a 1px grid.","background: #050505, border: 1px solid #111, color: #00FFFF, font-family: Inter","☐ 1px grid visible, ☐ Single neon accent, ☐ Sharp corners (0-2px), ☐ Monospace elements, ☐ High-speed transitions","--color-bg: #050505, --color-cyan: #00FFFF, --grid-color: #111111"
17,Liquid Glass (Holographic),General,"Flowing glass, morphing, fluid effects, translucent, iridescent, chromatic aberration, holographic","Vibrant iridescent rainbow, translucent base with opacity shifts","Chromatic aberration (Red-Cyan), holographic effects, fluid gradient blends","Morphing shapes (SVG), fluid animations (400-600ms), dynamic blur, color transitions","Premium SaaS, creative platforms, branding experiences, luxury portfolios, music apps","Performance-limited, critical accessibility, data-heavy systems",✓ Full,✓ Full,⚠ Moderate,⚠ Text contrast,◐ Medium,✓ High,"Framer Motion 10/10, GSAP 10/10",2020s Modern,High,"Create a premium holographic liquid glass effect with morphing shapes and iridescent gradients.","animation: morph (SVG), backdrop-filter: blur(15px), background: iridescent-gradient","☐ Morphing animations 400ms+, ☐ Chromatic aberration subtle, ☐ Dynamic blur active, ☐ Iridescent colors","--morph-duration: 500ms, --blur-amount: 15px, --iridescent: true"
18,Motion-Driven (Cinema Style),General,"Animation-heavy, microinteractions, scroll effects, parallax, entrance anim, page transitions","Bold colors emphasize movement, high contrast","Transitional states, success green, error red","Scroll-reveal (Intersection Observer), smooth transitions (400ms), parallax (3-layers)","Portfolio sites, storytelling, entertainment, creative agencies, SaaS landing pages","Data dashboards, low-power devices, accessibility-first sites",✓ Full,✓ Full,⚠ Good,⚠ Prefers-reduced-motion,✓ Good,✓ High,"GSAP 10/10, Framer Motion 10/10",2020s Modern,High,"Build an animation-heavy interface with scroll-triggered reveals and page transitions.","animation: scroll-reveal, transform: translateY(20px), Intersection Observer","☐ Scroll animations active, ☐ Parallax layers smooth, ☐ Entrance anim fluid, ☐ GPU accelerated","--animation-duration: 400ms, --parallax-layers: 3, --entrance-transition: true"
19,Micro-interactions (Tactile),General,"Small animations, gesture-based, tactile feedback, response, contextual, mobile-first","Subtle color shifts, feedback-driven colors","Accent feedback, clear action indicators","Small hover (100ms), loading spinners, success anim, haptic vibration triggers","Mobile apps, touchscreen UIs, productivity tools, consumer apps","Desktop-only apps (except hover), accessibility-first (alternative needed)",✓ Full,✓ Full,⚡ Excellent,✓ Good,✓ High,✓ High,"Framer Motion 10/10, React Spring 9/10",2020s Modern,Medium,"Design with delightful micro-interactions: small animations, tactile responses, and haptic triggers.","animation: 100ms, :active { scale: 0.98 }, haptic-vibrate API","☐ Micro-animations 100ms, ☐ Gesture-responsive, ☐ Tactile feedback visible, ☐ Loading indicators smooth","--micro-duration: 100ms, --haptic-enabled: true, --press-scale: 0.98"
20,Inclusive & Universal (A11y),General,"Accessible, color-blind friendly, high contrast, WCAG AAA, focus indicators, screen reader","WCAG AAA (7:1+), high luminosity","Symbol-based indicators, supporting patterns (stripes/dots)","Clear focus rings (4px), aria-labels, skip links, reduced motion, 44x44px touch targets","Public services, healthcare, finance, government, education, inclusive products",None - accessibility universal,✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,✓ High,All frameworks 10/10,Universal,Low,"Design for universal accessibility with WCAG AAA compliance and symbol-based feedback.","role: button, aria-label, focus-visible { outline: 4px }, contrast: 7:1+","☐ WCAG AAA verified, ☐ 7:1+ contrast all text, ☐ Keyboard navigation tested, ☐ No color-only indicators","--contrast-focus: 7:1, --font-size: 16px+, --focus-ring-width: 4px"
21,Hero-Centric (Dramatic),Landing Page,"Large hero, compelling headline, product showcase, high-contrast CTA, dramatic visual","Brand primary, white contrast, bold typography","#FFF background, accent highlight, trust logos","Smooth scroll reveal, hero fade-in, background parallax, pulse CTA effect","SaaS landing pages, product launches, B2B platforms, premium startups","Complex navigation, data-heavy apps, multi-page portals",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Full,✓ Very High,"Tailwind 10/10, Bootstrap 9/10",2020s Modern,Medium,"Design a hero-centric landing page with a dramatic full-viewport hero section and clear value prop.","min-height: 100vh, display: flex, align-items: center, background: image/gradient","☐ Hero full viewport height, ☐ Headline visible above fold, ☐ CTA button high contrast, ☐ Mobile-optimized layout","--hero-vh: 100vh, --headline-clamp: clamp(2rem, 5vw, 4rem), --cta-bg: accent"
22,Conversion-Optimized (SaaS),Landing Page,"Form-focused, single CTA, social proof, urgency, trust signals, lead generation","Primary brand, high contrast white, accent CTA","Trust badges, review highlights, caution/urgency colors","Hover scale on CTA, smooth form focus, success feedback (confetti), loading button states","E-commerce, trial signups, lead gen, SaaS pricing, limited offers","Feature deep-dives, documentation, technical blogs",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ Full,✓ Very High,"Tailwind 10/10, React 10/10",2020s Modern,Medium,"Design a conversion-optimized landing page focused on a single primary CTA and trust signals.","form { max-width: 500px }, sticky-nav { cta: visible }","☐ Single primary CTA, ☐ Trust badges above fold, ☐ Form fields minimal, ☐ Success state confirmed","--cta-color: high-contrast, --form-width: 500px, --success-accent: green"
23,Feature-Grid (Benefit Focus),Landing Page,"Grid layout, benefit cards, icons, modular, alternating sections, visual features","Brand primary, bright secondary cards, contrasting accent","Benefit highlights (green), feature neutrals, problem areas (orange)","Card lift on hover, scroll-reveal icons, feature toggle transitions","Enterprise SaaS, software tools, complex product explanations, B2B","Simple products, early startups, mobile games",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Good,✓ High,"Tailwind 10/10, CSS Grid 10/10",2020s Modern,Medium,"Design a feature-rich grid with icons and benefit-focused copy.","display: grid, gap: 2rem, hover: translateY(-5px)","☐ Feature grid responsive, ☐ Icons consistent, ☐ Card hover smooth, ☐ Benefits prioritized","--card-gap: 2rem, --card-radius: 12px, --hover-lift: -5px"
24,Minimal & Direct (Indie),Landing Page,"Minimal text, white space, single column, direct messaging, typography, fast-loading","Monochromatic, white background, black text","Single accent CTA only, no secondary palette","Minimal animations, instant load, smooth scroll, clean borders","Indie products, consulting, micro SaaS, freelancer portfolios, simple services","Feature-heavy corporate apps, complex data tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Full,✓ High,"Tailwind 10/10, Hugo 10/10",2020s Modern,Low,"Design a minimal landing page with extreme white space and direct messaging.","max-width: 650px, margin: 0 auto, line-height: 1.6","☐ Single column centered, ☐ Generous white space, ☐ One primary CTA, ☐ Page weight minimized","--content-width: 650px, --spacing: 4rem, --text-size: 18px"
25,Social-Proof Heavy,Landing Page,"Testimonials, client logos, case studies, reviews, ratings, user avatars, credibility","Trust Blue, success Green, neutral Grey backgrounds","Wall of love colors, badge highlights, user count metrics","Testimonial carousels, logo grid fade, metric counters, star rating pulses","Established B2B SaaS, professional services, e-commerce stores, trusted brands","New startups, experimental projects, anonymous tools",✓ Full,✓ Full,⚡ Good,✓ WCAG AA,✓ Full,✓ High,"Tailwind 10/10, React 10/10",2020s Modern,Medium,"Design a social-proof focused page with prominent client logos and testimonials.","grid for logos, carousel for testimonials, counters for metrics","☐ Real user photos, ☐ Logo grid (grayscale to color), ☐ Ratings verified, ☐ Metrics animated","--avatar-size: 64px, --logo-height: 40px, --star-color: gold"
26,Interactive Mockup/Demo,Landing Page,"Product video, interactive mockup, walkthrough, step-by-step, embedded demo","Interface-matching colors, brand highlights","Tutorial step colors, hover indicators, success feedback","Video autoplay (muted), screen transitions, mockup interactions, smooth hover reveals","Software products, developer tools, productivity apps, SaaS demos","Physical products, general services, consulting",✓ Full,✓ Full,⚠ Moderate (assets),✓ WCAG AA,✓ Good,✓ Very High,"Tailwind 10/10, Framer 10/10",2020s Modern,Medium,"Design an interactive product demo page with embedded mockups and video focus.","position: relative for frame, overlay: absolute, video: cover","☐ Demo loads fast, ☐ Step indicators clear, ☐ Hover states active, ☐ Mobile touch friendly","--mockup-radius: 12px, --video-shadow: large, --overlay-blur: 4px"
27,Authority & Trust,Landing Page,"Certificates, badges, security, expert credentials, case study metrics, industry recognition","Professional Navy/Grey, Gold/Silver accents","Security green, warning orange for issues, formal neutrals","Badge hover lift, metric pulse, security shield glint, smooth stat reveals","Finance, Healthcare, Legal, Enterprise Software, Cybersecurity","Casual apps, social games, memes/viral products",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ Full,✓ High,"Tailwind 10/10, Bootstrap 9/10",2020s Modern,Medium,"Design a trust-focused page with certification badges and professional security elements.","badge-grid { grayscale: 1 }, shield-icon { glow }, formal-text","☐ Security badges visible, ☐ Certifications verified, ☐ Professional photography, ☐ Sources cited","--color-trust: navy, --badge-size: 48px, --glow-shield: subtle"
28,Story-Narrative (Cinematic),Landing Page,"Narrative flow, visual journey, chapter structure, missions, emotional storytelling","Warm/Emotional palette, brand gradients","Section color-coding, story accents, moody highlights","Scroll-triggered story reveals, cinematic transitions, narrative parallax, morphing","Brand landing, lifestyle, annual reports, mission-driven products, luxury narratives","Technical docs, feature catalogs, utility tools",✓ Full,✓ Full,⚠ Asset heavy,✓ WCAG AA,✓ Good,✓ High,"GSAP 10/10, Three.js 9/10",2020s Modern,High,"Design a narrative-driven storytelling page with cinematic scroll transitions.","position: sticky for story, fade-in { 1s }, intersection observer triggers","☐ Narrative flow natural, ☐ Scroll reveals smooth, ☐ Mobile story readable, ☐ Skip button present","--story-gap: 10rem, --reveal-speed: 1s, --chapter-font: serif"
29,Data-Dense (Analyst),BI/Analytics,"Charts,widgets,KPI,tables,minimal padding,grid layout,space-efficient,data-visibility","Neutral Grey, Chart colors (Blue/Green/Red/Amber)","Success green, Alert red, Warning gold, Neutral grey","Tooltip hovers, chart zooms, row highlights, smooth filter re-sorts","BI dashboards, finance tools, operations, data science, monitoring","Marketing summaries, simple reporting, non-technical users",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,◐ Medium,✗ N/A,"Recharts 10/10, Chart.js 10/10",2020s Modern,Medium,"Design a data-dense layout for analysts with 12-column grid and modular widgets.","display: grid, grid-template-columns: repeat(12, 1fr), padding: 0.5rem","☐ 12-column grid active, ☐ KPI cards summary, ☐ Sortable tables, ☐ Filter sidebar works","--grid-gap: 8px, --widget-padding: 12px, --font-small: 12px"
30,Heat Map & Matrix,BI/Analytics,"Color-coded grid, intensity viz, correlation, geographical, gradient, cell-based","Cool-to-Hot Gradient (Blue-White-Red/Yellow)","Scale indicators, divergent palette, monochromatic shades","Cell highlight on hover, tooltip reveal, smooth color shift on updates","Geo analysis, behavior heatmaps, correlations, temperature, intensity data","Categorical compare (use bars), small datasets, linear data",✓ Full,✓ Full,⚡ Excellent,⚠ Colorblind check,◐ Medium,✗ N/A,"D3.js 10/10, Recharts 9/10",2020s Modern,Medium,"Design an intensity heatmap using a color gradient to show data concentration.","display: grid (fixed aspect), background-color: hex-color","☐ Legend provided, ☐ Hover tooltip shows value, ☐ Accessible scale alternative, ☐ Zoom enabled","--heat-hot: red, --heat-cool: blue, --cell-gap: 1px"
31,Executive (Summary),BI/Analytics,"High-level KPI, trend indicators, summary, decision-maker, clean, white space","Brand Primary, success green, alert red, professional grey","Trend arrow colors, status highlights, neutral summary cards","Number count-up animations, trend pulse, card lift, summary transitions","C-suite dashboards, business reviews, strategic summary, monthly reports","Operational monitoring, technical logs, detail-rich analyst tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✗ Low,✗ N/A,"Recharts 10/10, Tailwind 10/10",2020s Modern,Medium,"Design a clean, high-level executive dashboard with 4-6 primary KPIs.","font-size: 3rem for metrics, padding: 4rem, spacing: 2rem","☐ 4-6 KPIs max, ☐ Trend sparklines visible, ☐ Minimal detail, ☐ Status colors clear","--kpi-size: 3rem, --card-gap: 2rem, --status-good: green"
